epochs	4-2-3	4-3-3	4-4-3	4-5-3	4-6-3	4-7-3	4-8-3	4-9-3	4-10-3
11050	0.032343	0.035529	0.012667	0.02505	0.015927	0.01284	0.013144	0.014175	0.012325
11100	0.031514	0.041417	0.01264	0.029166	0.016287	0.012933	0.01303	0.013992	0.012337
11150	0.043412	0.029288	0.012596	0.043148	0.016118	0.012811	0.013071	0.01386	0.01231
11200	0.032499	0.032611	0.012447	0.042794	0.016252	0.012848	0.012994	0.013906	0.012216
11250	0.037876	0.024842	0.012522	0.031339	0.015523	0.012753	0.012857	0.013693	0.012203
11300	0.029103	0.021779	0.01242	0.045134	0.016079	0.012775	0.012915	0.01382	0.0121
11350	0.027813	0.031135	0.01239	0.037544	0.015458	0.012694	0.012848	0.013804	0.011931
11400	0.026179	0.031795	0.012337	0.028882	0.015253	0.012637	0.012809	0.013681	0.012037
11450	0.029369	0.036289	0.012302	0.033887	0.015071	0.01262	0.012726	0.013617	0.011959
11500	0.038822	0.032293	0.012255	0.028412	0.015715	0.012576	0.012549	0.013582	0.011897
11550	0.033911	0.026336	0.012228	0.034075	0.015003	0.012517	0.012598	0.013499	0.011806
11600	0.033401	0.025111	0.012149	0.030246	0.015287	0.012383	0.012463	0.013416	0.011774
11650	0.033578	0.029843	0.012138	0.027987	0.014811	0.012253	0.012424	0.013252	0.011795
11700	0.027162	0.024566	0.011993	0.029994	0.015057	0.012402	0.012457	0.013263	0.01169
11750	0.044067	0.034637	0.01205	0.026028	0.014689	0.012266	0.012262	0.012999	0.01161
11800	0.031502	0.030473	0.011978	0.035907	0.015083	0.01228	0.01233	0.013099	0.011613
11850	0.025756	0.024162	0.011974	0.032685	0.014807	0.012095	0.012295	0.013093	0.011557
11900	0.028636	0.026605	0.011909	0.026962	0.014645	0.012198	0.012207	0.012911	0.011476
11950	0.027794	0.026416	0.011863	0.029692	0.014851	0.012139	0.012211	0.012969	0.011317
12000	0.02943	0.024498	0.011833	0.036349	0.014724	0.012111	0.012137	0.012862	0.011418
12050	0.031164	0.025621	0.011795	0.02896	0.014118	0.011916	0.012084	0.01288	0.011307
12100	0.028416	0.027386	0.01174	0.029581	0.014012	0.012025	0.012044	0.01281	0.011331
12150	0.029394	0.025243	0.011724	0.035365	0.014439	0.011961	0.011967	0.012684	0.011245
12200	0.027909	0.027717	0.011681	0.032982	0.014525	0.011925	0.011966	0.01271	0.011167
12250	0.023818	0.028091	0.011622	0.027394	0.014424	0.0119	0.011925	0.012657	0.011143
12300	0.020224	0.024619	0.011617	0.027208	0.014123	0.011827	0.011821	0.012563	0.011031
12350	0.028043	0.022281	0.011568	0.025664	0.014097	0.011829	0.011682	0.012555	0.011017
12400	0.024782	0.025457	0.011488	0.031434	0.014071	0.011782	0.011748	0.012372	0.011064
12450	0.02476	0.02387	0.011518	0.02285	0.013904	0.01175	0.011674	0.012419	0.010999
12500	0.027816	0.029218	0.011479	0.030235	0.013898	0.011697	0.01158	0.012237	0.010987
12550	0.02243	0.028169	0.011408	0.027235	0.013822	0.011679	0.011633	0.012292	0.010904
12600	0.023796	0.024305	0.011417	0.029299	0.013621	0.011571	0.01161	0.012266	0.010882
12650	0.027866	0.024772	0.011377	0.026109	0.013669	0.011623	0.011489	0.012059	0.010765
12700	0.022591	0.02132	0.01128	0.024219	0.013359	0.011547	0.011483	0.012103	0.010797
12750	0.024811	0.028088	0.011276	0.021959	0.013466	0.011511	0.011462	0.012062	0.010716
12800	0.02742	0.026136	0.011252	0.024559	0.01333	0.011427	0.011474	0.012028	0.01068
12850	0.023498	0.028232	0.011211	0.025598	0.013346	0.011469	0.011348	0.011968	0.010666
12900	0.022891	0.023335	0.011192	0.024297	0.013182	0.011431	0.011355	0.011875	0.010541
12950	0.02657	0.022946	0.011163	0.023405	0.01323	0.011347	0.011307	0.011831	0.010598
13000	0.023739	0.023111	0.011115	0.025032	0.013143	0.011372	0.011263	0.011826	0.010533
13050	0.024328	0.024037	0.011077	0.025996	0.01318	0.011287	0.011199	0.011666	0.010514
13100	0.024013	0.02238	0.011048	0.027155	0.012984	0.011252	0.011187	0.011774	0.010451
13150	0.020702	0.021264	0.011033	0.022691	0.012916	0.011222	0.011169	0.011745	0.010442
13200	0.025096	0.023331	0.010999	0.024217	0.013041	0.011142	0.011096	0.011524	0.010399
13250	0.020934	0.024888	0.010917	0.021576	0.012731	0.011157	0.011071	0.011556	0.010365
13300	0.023169	0.021841	0.010885	0.020337	0.012801	0.011129	0.01096	0.011501	0.010279
13350	0.022103	0.021189	0.010893	0.026691	0.012696	0.011106	0.010995	0.011457	0.010299
13400	0.023707	0.020046	0.010865	0.024272	0.012638	0.011052	0.010932	0.011474	0.010239
13450	0.022309	0.019964	0.010839	0.021302	0.012525	0.011048	0.010924	0.011459	0.010244
13500	0.023935	0.019253	0.01078	0.023658	0.012555	0.010995	0.010879	0.011298	0.010167
13550	0.022032	0.022454	0.010783	0.024034	0.012485	0.010985	0.010817	0.01139	0.01013
13600	0.023907	0.022652	0.01075	0.024399	0.012523	0.010934	0.010778	0.011266	0.010108
13650	0.023282	0.022173	0.010724	0.026074	0.012518	0.010914	0.010747	0.011258	0.010086
13700	0.019312	0.020421	0.010694	0.023964	0.012482	0.010888	0.010652	0.011235	0.009966
13750	0.019403	0.019638	0.010656	0.024372	0.012173	0.01085	0.010708	0.01109	0.010019
13800	0.022144	0.021688	0.010634	0.024122	0.012158	0.010741	0.010691	0.01116	0.009995
13850	0.021076	0.02113	0.010591	0.019149	0.012022	0.0108	0.0106	0.011092	0.0099571
13900	0.021361	0.020804	0.010572	0.02429	0.012166	0.010778	0.010546	0.011104	0.0099174
13950	0.020486	0.020407	0.010553	0.02191	0.012167	0.010723	0.010516	0.011045	0.0098682
14000	0.022458	0.022357	0.010476	0.0254	0.011852	0.010709	0.010532	0.010958	0.0098272
14050	0.018822	0.022107	0.010498	0.021247	0.012065	0.010628	0.010466	0.010908	0.0097883
14100	0.022103	0.018225	0.010473	0.022914	0.011958	0.01063	0.010458	0.010818	0.0097986
14150	0.022304	0.020265	0.010434	0.023339	0.011912	0.010546	0.010381	0.010875	0.0097386
